crop,market,price
Rice,Bangalore,1500
Rice,Mysore,1450
Rice,Hubli,1480
Rice,Belgaum,1500
Maize,Bangalore,1800
Maize,Mysore,1750
Maize,Hubli,1820
Maize,Belgaum,1800
Tomato,Bangalore,1200
Tomato,Mysore,1250
Tomato,Hubli,1220
Tomato,Belgaum,1200
Wheat,Bangalore,2100
Wheat,Mysore,2050
Wheat,Hubli,2080
Wheat,Belgaum,2100
Ragi,Bangalore,2000
Ragi,Mysore,1950
Ragi,Hubli,1980
Ragi,Belgaum,2000
Sugarcane,Bangalore,1500
Sugarcane,Mysore,1450
Sugarcane,Hubli,1480
Sugarcane,Belgaum,1500
Rice,Bangalore,1510
Maize,Mysore,1775
Tomato,Hubli,1230
Wheat,Belgaum,2090
Ragi,Bangalore,1990
Sugarcane,Mysore,1460
Rice,Hubli,1495
Maize,Bangalore,1810
Tomato,Mysore,1240
Wheat,Hubli,2075
Ragi,Belgaum,1985
Sugarcane,Belgaum,1515
Rice,Bangalore,1485
Maize,Hubli,1805
Tomato,Belgaum,1215
Wheat,Mysore,2060
Ragi,Hubli,1975
Sugarcane,Bangalore,1495
Rice,Mysore,1465
Maize,Belgaum,1795
Tomato,Bangalore,1225
Wheat,Belgaum,2105
Ragi,Mysore,1965
Sugarcane,Hubli,1505
